,STATE,YEAR_x,GRAD_PERCENT,TOTAL_REVENUE,LOCAL_REVENUE,STATE_REVENUE,FEDERAL_REVENUE,LOCAL_PERCENT,FED_PERCENT,STATE_PERCENT,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,INSTRUCTION_EXPENDITURE
121,LOUISIANA,2012,86.4,8477993.0,3361713.0,3588546.0,1527734.0,0.39652226653171335,0.18019996006130223,0.4232777734069844,8504567.0,2793437.0,4365583.0
122,MAINE,2012,85.0,2611056.0,1358748.0,1012326.0,239982.0,0.5203825578616468,0.09190993988639079,0.38770750225196243,2625759.0,887596.0,1376755.0
123,MARYLAND,2012,85.0,13752912.0,6912736.0,5980541.0,859635.0,0.5026379867769095,0.06250567152614661,0.43485634169694387,13212140.0,4161605.0,7140620.0
124,MASSACHUSETTS,2012,77.0,15763456.0,8583336.0,6200945.0,979175.0,0.5445085138690399,0.06211677185510588,0.39337471427585424,15696061.0,4642633.0,8801567.0
125,MICHIGAN,2012,79.8,18622316.0,6959102.0,9796808.0,1866406.0,0.3736969128866678,0.10022416116233877,0.5260789259509934,18063824.0,5802009.0,9070480.0
126,MINNESOTA,2012,75.5,10681609.0,3299071.0,6642440.0,740098.0,0.30885524830575617,0.069287127061101,0.6218576246331429,10696348.0,2555775.0,5672620.0
127,MISSISSIPPI,2012,85.7,4477828.0,1486998.0,2195720.0,795110.0,0.3320801960236079,0.17756599851535165,0.49035380546104046,4423270.0,1449935.0,2291333.0
128,MISSOURI,2012,84.4,10022622.0,4913106.0,4115324.0,994192.0,0.49020166579164615,0.09919480152000146,0.4106035326883524,9910617.0,2994397.0,5056789.0
129,MONTANA,2012,88.5,1628318.0,653125.0,761029.0,214164.0,0.40110408409168236,0.13152467761211262,0.467371238296205,1652537.0,536815.0,888206.0
130,NEBRASKA,2012,70.7,3764056.0,2231666.0,1166374.0,366016.0,0.5928886286495206,0.09723978601806137,0.309871585332418,3880517.0,984922.0,2247992.0
131,NEVADA,2012,87.3,4053945.0,1249362.0,2401035.0,403548.0,0.3081842501563292,0.09954451774752741,0.5922712320961434,4109706.0,1336995.0,2049362.0
132,NEW_HAMPSHIRE,2012,87.5,2963221.0,1746653.0,1029325.0,187243.0,0.589444054290922,0.0631890095271328,0.34736693618194525,2961684.0,868513.0,1654634.0
133,NEW_JERSEY,2012,70.3,27574528.0,15801549.0,10401941.0,1371038.0,0.5730487571718362,0.04972117745768849,0.37723006537047526,26432652.0,8921990.0,14491817.0
134,NEW_MEXICO,2012,76.8,3478709.0,605995.0,2380982.0,491732.0,0.17420111886334844,0.141354738208916,0.6844441429277356,3616691.0,1097238.0,1688871.0
135,NEW_YORK,2012,82.5,58981073.0,31897154.0,23314292.0,3769627.0,0.5408032166522301,0.06391248595969083,0.3952842973880791,60216421.0,14662331.0,38431932.0
136,NORTH_CAROLINA,2012,87.5,12788659.0,3309542.0,7648102.0,1831015.0,0.25878725830440863,0.1431749020753466,0.5980378396202448,13418244.0,3817233.0,7521325.0
137,NORTH_DAKOTA,2012,82.2,1345371.0,527066.0,658255.0,160050.0,0.3917625695811787,0.11896346806940242,0.48927396234941883,1380563.0,368323.0,685786.0
138,OHIO,2012,84.8,22799205.0,11455195.0,9336277.0,2007733.0,0.5024383525653636,0.08806153547897833,0.4095001119556581,22662376.0,7524489.0,10861218.0
139,OKLAHOMA,2012,68.7,5824963.0,2182878.0,2869071.0,773014.0,0.3747453846487952,0.1327071090408643,0.4925475063103405,5594867.0,1898922.0,2736786.0
140,OREGON,2012,85.5,6124872.0,2535926.0,3038052.0,550894.0,0.4140373872302964,0.08994375719198704,0.4960188555777166,6314092.0,2057965.0,3250376.0
141,PENNSYLVANIA,2012,79.7,27881568.0,16174860.0,9561500.0,2145208.0,0.5801273443444788,0.07694000566969547,0.3429326499858258,27851918.0,7682906.0,13450420.0
142,RHODE_ISLAND,2012,77.6,2208278.0,1224596.0,779000.0,204682.0,0.5545479328236753,0.09268851113854325,0.3527635560377815,2190431.0,727287.0,1272285.0
143,SOUTH_CAROLINA,2012,82.7,7889771.0,3454779.0,3586738.0,848254.0,0.437880769923487,0.10751313314416856,0.45460609693234444,7948441.0,2489094.0,3749691.0
144,SOUTH_DAKOTA,2012,86.3,1298723.0,691054.0,395054.0,212615.0,0.5321026885640741,0.16371081439229151,0.3041864970436344,1296971.0,379791.0,649023.0
145,TENNESSEE,2012,88.0,8983224.0,3707325.0,4017946.0,1257953.0,0.4126942621045629,0.14003357814521825,0.44727215975021883,9256522.0,2693334.0,5151260.0
146,TEXAS,2012,83.0,49979753.0,24037529.0,19801928.0,6140296.0,0.4809453340035514,0.1228556691746756,0.396198996821773,50215314.0,13954303.0,23902458.0
147,UTAH,2012,86.6,4217360.0,1632609.0,2158049.0,426702.0,0.3871163476677353,0.1011775138949485,0.5117061384373163,4330417.0,1052249.0,2161779.0
148,VERMONT,2012,84.5,1754161.0,257390.0,1372320.0,124451.0,0.14673111533091887,0.07094616742704916,0.782322717242032,1726321.0,518561.0,904254.0
149,VIRGINIA,2012,76.4,14940479.0,8010424.0,5564504.0,1365551.0,0.5361557684997917,0.09139941229461251,0.37244481920559575,15129464.0,4744530.0,8123166.0
150,WASHINGTON,2012,81.4,11955582.0,3897427.0,7001110.0,1057045.0,0.32599224362310425,0.08841434904632832,0.5855934073305674,12187889.0,3735795.0,5866729.0
151,WEST_VIRGINIA,2012,88.0,3970941.0,1524701.0,2014017.0,432223.0,0.38396465724371126,0.10884649255680202,0.5071888501994867,3536971.0,1155259.0,1893954.0
152,WISCONSIN,2012,77.0,11139967.0,5446300.0,4786356.0,907311.0,0.48889731899564876,0.08144647107123387,0.4296562099331174,10724377.0,3525882.0,5631108.0
153,WYOMING,2012,86.3,1664983.0,668359.0,851896.0,144728.0,0.4014209154087459,0.08692461124227695,0.5116544733489772,1670728.0,540510.0,845801.0
154,ALABAMA,2013,71.1,7197439.0,2487353.0,3898347.0,811739.0,0.34558861839607113,0.11278164358183515,0.5416297380220937,7487741.0,2317243.0,3747993.0
155,ALASKA,2013,75.7,2545117.0,516730.0,1707449.0,320938.0,0.2030279943908276,0.126099507409679,0.6708724981994934,2665933.0,982442.0,1324649.0
156,ARIZONA,2013,86.9,8164324.0,4051803.0,2934165.0,1178356.0,0.4962815047516488,0.14432989185632517,0.3593886033920261,7600581.0,2643742.0,3824071.0
157,ARKANSAS,2013,81.0,5067546.0,648405.0,3847045.0,572096.0,0.12795246456568918,0.11289409114391857,0.7591534442903922,5226339.0,1694335.0,2545564.0
